ip.proto,ip.src.len.mean,ip.src.len.median,ip.src.len.var,ip.src.len.std,ip.src.len.entropy,ip.src.len.cv,ip.src.len.cvq,ip.src.len.unique_ratio,ip.dst.len.mean,ip.dst.len.median,ip.dst.len.var,ip.dst.len.std,ip.dst.len.entropy,ip.dst.len.cv,ip.dst.len.cvq,ip.dst.len.unique_ratio,sport.mean,sport.median,sport.var,sport.std,sport.entropy,sport.cv,sport.cvq,sport.unique_ratio,dport.mean,dport.median,dport.var,dport.std,dport.entropy,dport.cv,dport.cvq,dport.unique_ratio,tcp.flags.mean,tcp.flags.median,tcp.flags.var,tcp.flags.std,tcp.flags.entropy,tcp.flags.cv,tcp.flags.cvq,tcp.flags.unique_ratio,status
7.1,9.0,9.0,2.0816326530612246,1.4427864197660112,0,0.16030960219622348,0,0.08,9.48,10.0,1.6424489795918369,1.281580656686046,0,0.1351878329837601,0,0.1,35836.96,46826.0,535554030.81469387,23142.040333874924,0,0.6457590245901138,0,0.34,14830.76,443.0,572804898.5942857,23933.34282114151,0,1.6137637465066867,0,0.24,97.84,83.0,2170.5044897959183,46.58867340669745,0,0.4761720503546346,0,0.16,normal
7.76,10.08,9.0,4.564897959183674,2.136562182381705,0,0.211960533966439,0,0.06,9.48,9.0,5.111836734693878,2.2609371363870068,0,0.23849547852183614,0,0.1,28631.32,465.0,888575736.0179592,29808.987504072647,0,1.0411321414476402,0,0.2,31259.42,58182.0,903300613.2281631,30054.95987733411,0,0.961468890892221,0,0.18,91.74,83.0,2841.992244897959,53.31033900565592,0,0.5811024526450395,0,0.12,normal
7.1,9.06,9.0,2.6697959183673468,1.6339510146780247,0,0.18034779411457225,0,0.08,9.52,10.0,1.0710204081632655,1.0349011586442762,0,0.10870810489960886,0,0.08,32169.18,59595.0,884165364.4363266,29734.918268532816,0,0.9243293819902408,0,0.22,27460.92,443.0,885259519.789388,29753.311072709,0,1.083478305632477,0,0.24,90.82,65.0,2338.762857142857,48.360757408697154,0,0.5324901718640955,0,0.1,normal
7.1,9.12,9.0,1.9444897959183667,1.394449639075706,0,0.15290017972321338,0,0.06,9.18,9.0,1.3751020408163261,1.1726474494989216,0,0.12773937358376053,0,0.06,28710.8,443.0,886967601.9183674,29782.001308145285,0,1.0373100473739947,0,0.2,30900.26,51821.0,877965620.9310206,29630.48465568899,0,0.9589072925499329,0,0.2,102.54,145.0,2552.8248979591835,50.52548760733718,0,0.4927392979065455,0,0.1,normal
12.16,7.6,9.0,5.142857142857143,2.2677868380553634,0,0.29839300500728466,0,0.04,7.6,9.0,5.142857142857143,2.2677868380553634,0,0.29839300500728466,0,0.04,28521.44,443.0,890177026.0065308,29835.83459544128,0,1.0460844401769784,0,0.3,30448.54,52762.0,866318856.5799999,29433.295034365416,0,0.9666570231073613,0,0.28,51.04,0.0,4050.610612244898,63.64440754885615,0,1.2469515585590938,0,0.08,normal
13.92,7.36,9.0,6.602448979591836,2.5695231035333843,0,0.34911998689312285,0,0.06,7.3,9.0,6.336734693877553,2.5172871695294425,0,0.3448338588396497,0,0.06,26692.84,443.0,846402879.2391837,29093.003956951296,0,1.0899178939727394,0,0.36,31607.4,52807.0,865930518.7346939,29426.697380689766,0,0.931006580126482,0,0.38,33.02,0.0,3252.591428571429,57.03149505818192,0,1.7271803470073261,0,0.1,normal
10.18,8.5,9.0,6.255102040816326,2.5010202000016566,0,0.2942376705884302,0,0.08,8.4,9.0,4.0,2.0,0,0.23809523809523808,0,0.08,18753.96,443.0,744966210.4473469,27294.06914418125,0,1.4553763122125274,0,0.28,40019.78,59397.5,765349977.1138775,27664.95937307477,0,0.6912821453060154,0,0.32,65.9,65.0,3727.234693877551,61.05108265933988,0,0.9264200707031848,0,0.06,normal
7.1,9.3,9.0,2.3775510204081627,1.5419309389230642,0,0.16579902569065205,0,0.08,9.42,9.0,1.7995918367346944,1.3414886644078265,0,0.14240856310061853,0,0.08,29912.02,28901.5,889160788.4281632,29818.799245243983,0,0.9968835018579147,0,0.1,29673.98,25214.0,877431312.1832652,29621.467083574124,0,0.9982303379450321,0,0.16,93.24,65.0,2390.0228571428574,48.88786001803369,0,0.5243228230162343,0,0.1,normal
7.98,9.26,9.0,1.4208163265306124,1.1919800025716087,0,0.1287235423943422,0,0.06,8.68,9.0,3.8955102040816327,1.9737046901909192,0,0.22738533297130406,0,0.08,29070.72,25042.0,845477545.9200001,29077.096586832737,0,1.0002193473994705,0,0.18,29796.9,25372.0,887519199.2346939,29791.260450586746,0,0.9998107336866165,0,0.1,67.7,65.0,1944.091836734694,44.091856807518255,0,0.6512829661376404,0,0.06,normal
7.1,9.08,9.0,2.5240816326530613,1.5887358599380392,0,0.17497090968480608,0,0.06,9.38,9.0,0.9751020408163266,0.9874725519305975,0,0.10527425926765431,0,0.08,26326.04,443.0,874485228.8963265,29571.69641559859,0,1.1232869210712508,0,0.12,33185.2,56646.0,863791561.3061224,29390.33108534374,0,0.8856457422388216,0,0.14,95.36,65.0,2504.643265306123,50.046411113146995,0,0.5248155527804844,0,0.08,normal
