frame_number,src_addr,dst_addr,src_port,dst_port,tcp_flags,protocol
2,172.27.224.251,172.27.224.250,53857,502,S,6
3,172.27.224.250,172.27.224.251,502,53857,SA,6
4,172.27.224.251,172.27.224.250,53857,502,A,6
5,172.27.224.251,172.27.224.250,53857,502,PA,6
6,172.27.224.251,172.27.224.250,53857,502,PA,6
7,172.27.224.251,172.27.224.250,53857,502,PA,6
8,172.27.224.251,172.27.224.250,53857,502,PA,6
9,172.27.224.251,172.27.224.250,53857,502,PA,6
10,172.27.224.251,172.27.224.250,53857,502,PA,6
11,172.27.224.251,172.27.224.250,53857,502,PA,6
12,172.27.224.251,172.27.224.250,53857,502,PA,6
13,172.27.224.251,172.27.224.250,53857,502,PA,6
14,172.27.224.251,172.27.224.250,53857,502,PA,6
15,172.27.224.251,172.27.224.250,53857,502,PA,6
16,172.27.224.251,172.27.224.250,53857,502,PA,6
17,172.27.224.250,172.27.224.251,502,53857,A,6
18,172.27.224.250,172.27.224.251,502,53857,A,6
19,172.27.224.250,172.27.224.251,502,53857,PA,6
20,172.27.224.251,172.27.224.250,53857,502,A,6
22,172.27.224.251,172.27.224.250,53857,502,FA,6
23,172.27.224.250,172.27.224.251,502,53857,A,6
24,172.27.224.250,172.27.224.251,502,53857,FA,6
25,172.27.224.251,172.27.224.250,53857,502,A,6
26,172.27.224.250,172.27.224.251,502,53857,RA,6
27,172.27.224.250,172.27.224.251,502,53857,R,6
31,172.27.224.251,172.27.224.250,53858,502,S,6
32,172.27.224.250,172.27.224.251,502,53858,SA,6
33,172.27.224.251,172.27.224.250,53858,502,A,6
34,172.27.224.251,172.27.224.250,53858,502,PA,6
35,172.27.224.251,172.27.224.250,53858,502,PA,6
36,172.27.224.251,172.27.224.250,53858,502,PA,6
37,172.27.224.251,172.27.224.250,53858,502,PA,6
38,172.27.224.251,172.27.224.250,53858,502,PA,6
39,172.27.224.251,172.27.224.250,53858,502,PA,6
40,172.27.224.251,172.27.224.250,53858,502,PA,6
41,172.27.224.251,172.27.224.250,53858,502,PA,6
42,172.27.224.251,172.27.224.250,53858,502,PA,6
43,172.27.224.251,172.27.224.250,53858,502,PA,6
44,172.27.224.251,172.27.224.250,53858,502,PA,6
45,172.27.224.251,172.27.224.250,53858,502,PA,6
46,172.27.224.250,172.27.224.251,502,53858,A,6
47,172.27.224.250,172.27.224.251,502,53858,A,6
48,172.27.224.250,172.27.224.251,502,53858,PA,6
49,172.27.224.251,172.27.224.250,53858,502,A,6
50,172.27.224.251,172.27.224.250,53858,502,FA,6
51,172.27.224.250,172.27.224.251,502,53858,A,6
52,172.27.224.250,172.27.224.251,502,53858,FA,6
53,172.27.224.251,172.27.224.250,53858,502,A,6
54,172.27.224.250,172.27.224.251,502,53858,RA,6
55,172.27.224.250,172.27.224.251,502,53858,R,6
59,172.27.224.251,172.27.224.250,53859,502,S,6
60,172.27.224.250,172.27.224.251,502,53859,SA,6
61,172.27.224.251,172.27.224.250,53859,502,A,6
62,172.27.224.251,172.27.224.250,53859,502,PA,6
63,172.27.224.251,172.27.224.250,53859,502,PA,6
64,172.27.224.251,172.27.224.250,53859,502,PA,6
65,172.27.224.251,172.27.224.250,53859,502,PA,6
66,172.27.224.251,172.27.224.250,53859,502,PA,6
67,172.27.224.251,172.27.224.250,53859,502,PA,6
68,172.27.224.251,172.27.224.250,53859,502,PA,6
69,172.27.224.251,172.27.224.250,53859,502,PA,6
70,172.27.224.251,172.27.224.250,53859,502,PA,6
71,172.27.224.251,172.27.224.250,53859,502,PA,6
72,172.27.224.251,172.27.224.250,53859,502,PA,6
73,172.27.224.251,172.27.224.250,53859,502,PA,6
74,172.27.224.250,172.27.224.251,502,53859,A,6
75,172.27.224.250,172.27.224.251,502,53859,A,6
76,172.27.224.250,172.27.224.251,502,53859,PA,6
77,172.27.224.251,172.27.224.250,53859,502,A,6
79,172.27.224.251,172.27.224.250,53859,502,FA,6
80,172.27.224.250,172.27.224.251,502,53859,A,6
81,172.27.224.250,172.27.224.251,502,53859,FA,6
82,172.27.224.251,172.27.224.250,53859,502,A,6
83,172.27.224.250,172.27.224.251,502,53859,RA,6
84,172.27.224.250,172.27.224.251,502,53859,R,6
85,172.27.224.250,172.27.224.251,502,52211,A,6
86,172.27.224.251,172.27.224.250,52211,502,A,6
90,172.27.224.251,172.27.224.250,53860,502,S,6
91,172.27.224.250,172.27.224.251,502,53860,SA,6
92,172.27.224.251,172.27.224.250,53860,502,A,6
93,172.27.224.251,172.27.224.250,53860,502,PA,6
94,172.27.224.251,172.27.224.250,53860,502,PA,6
95,172.27.224.251,172.27.224.250,53860,502,PA,6
96,172.27.224.251,172.27.224.250,53860,502,PA,6
97,172.27.224.251,172.27.224.250,53860,502,PA,6
98,172.27.224.251,172.27.224.250,53860,502,PA,6
99,172.27.224.251,172.27.224.250,53860,502,PA,6
100,172.27.224.251,172.27.224.250,53860,502,PA,6
101,172.27.224.251,172.27.224.250,53860,502,PA,6
102,172.27.224.251,172.27.224.250,53860,502,PA,6
103,172.27.224.251,172.27.224.250,53860,502,PA,6
104,172.27.224.251,172.27.224.250,53860,502,PA,6
105,172.27.224.250,172.27.224.251,502,53860,A,6
106,172.27.224.250,172.27.224.251,502,53860,A,6
107,172.27.224.250,172.27.224.251,502,53860,PA,6
108,172.27.224.251,172.27.224.250,53860,502,A,6
110,0.0.0.0,255.255.255.255,68,67,None,17
112,172.27.224.251,172.27.224.250,53860,502,FA,6
113,172.27.224.250,172.27.224.251,502,53860,A,6
114,172.27.224.250,172.27.224.251,502,53860,FA,6
115,172.27.224.251,172.27.224.250,53860,502,A,6
116,172.27.224.250,172.27.224.251,502,53860,RA,6
117,172.27.224.250,172.27.224.251,502,53860,R,6
124,172.27.224.251,172.27.224.250,53861,502,S,6
125,172.27.224.250,172.27.224.251,502,53861,SA,6
126,172.27.224.251,172.27.224.250,53861,502,A,6
127,172.27.224.251,172.27.224.250,53861,502,PA,6
128,172.27.224.251,172.27.224.250,53861,502,PA,6
129,172.27.224.251,172.27.224.250,53861,502,PA,6
130,172.27.224.251,172.27.224.250,53861,502,PA,6
131,172.27.224.251,172.27.224.250,53861,502,PA,6
132,172.27.224.251,172.27.224.250,53861,502,PA,6
133,172.27.224.251,172.27.224.250,53861,502,PA,6
134,172.27.224.251,172.27.224.250,53861,502,PA,6
135,172.27.224.251,172.27.224.250,53861,502,PA,6
136,172.27.224.251,172.27.224.250,53861,502,PA,6
137,172.27.224.251,172.27.224.250,53861,502,PA,6
138,172.27.224.251,172.27.224.250,53861,502,PA,6
139,172.27.224.250,172.27.224.251,502,53861,A,6
140,172.27.224.250,172.27.224.251,502,53861,A,6
141,172.27.224.250,172.27.224.251,502,53861,PA,6
143,172.27.224.251,172.27.224.250,53861,502,A,6
145,172.27.224.251,172.27.224.250,53861,502,FA,6
146,172.27.224.250,172.27.224.251,502,53861,A,6
147,172.27.224.250,172.27.224.251,502,53861,FA,6
148,172.27.224.251,172.27.224.250,53861,502,A,6
149,172.27.224.250,172.27.224.251,502,53861,RA,6
150,172.27.224.250,172.27.224.251,502,53861,R,6
151,0.0.0.0,255.255.255.255,68,67,None,17
154,172.27.224.251,172.27.224.250,53862,502,S,6
155,172.27.224.250,172.27.224.251,502,53862,SA,6
156,172.27.224.251,172.27.224.250,53862,502,A,6
157,172.27.224.251,172.27.224.250,53862,502,PA,6
158,172.27.224.251,172.27.224.250,53862,502,PA,6
159,172.27.224.251,172.27.224.250,53862,502,PA,6
160,172.27.224.251,172.27.224.250,53862,502,PA,6
161,172.27.224.251,172.27.224.250,53862,502,PA,6
162,172.27.224.251,172.27.224.250,53862,502,PA,6
163,172.27.224.251,172.27.224.250,53862,502,PA,6
164,172.27.224.251,172.27.224.250,53862,502,PA,6
165,172.27.224.251,172.27.224.250,53862,502,PA,6
166,172.27.224.251,172.27.224.250,53862,502,PA,6
167,172.27.224.251,172.27.224.250,53862,502,PA,6
168,172.27.224.251,172.27.224.250,53862,502,PA,6
170,172.27.224.250,172.27.224.251,502,53862,A,6
171,172.27.224.250,172.27.224.251,502,53862,A,6
172,172.27.224.250,172.27.224.251,502,53862,PA,6
173,172.27.224.251,172.27.224.250,53862,502,A,6
175,172.27.224.251,172.27.224.250,53862,502,FA,6
176,172.27.224.250,172.27.224.251,502,53862,A,6
177,172.27.224.250,172.27.224.251,502,53862,FA,6
178,172.27.224.251,172.27.224.250,53862,502,A,6
179,172.27.224.250,172.27.224.251,502,53862,RA,6
180,172.27.224.250,172.27.224.251,502,53862,R,6
184,172.27.224.251,172.27.224.250,53863,502,S,6
185,172.27.224.250,172.27.224.251,502,53863,SA,6
186,172.27.224.251,172.27.224.250,53863,502,A,6
187,172.27.224.251,172.27.224.250,53863,502,PA,6
188,172.27.224.251,172.27.224.250,53863,502,PA,6
189,172.27.224.251,172.27.224.250,53863,502,PA,6
190,172.27.224.251,172.27.224.250,53863,502,PA,6
191,172.27.224.251,172.27.224.250,53863,502,PA,6
192,172.27.224.251,172.27.224.250,53863,502,PA,6
193,172.27.224.251,172.27.224.250,53863,502,PA,6
194,172.27.224.251,172.27.224.250,53863,502,PA,6
195,172.27.224.251,172.27.224.250,53863,502,PA,6
196,172.27.224.251,172.27.224.250,53863,502,PA,6
197,172.27.224.251,172.27.224.250,53863,502,PA,6
198,172.27.224.251,172.27.224.250,53863,502,PA,6
199,172.27.224.250,172.27.224.251,502,53863,A,6
200,172.27.224.250,172.27.224.251,502,53863,A,6
201,172.27.224.250,172.27.224.251,502,53863,PA,6
202,172.27.224.251,172.27.224.250,53863,502,A,6
203,0.0.0.0,255.255.255.255,68,67,None,17
205,172.27.224.251,172.27.224.250,53863,502,FA,6
206,172.27.224.250,172.27.224.251,502,53863,A,6
207,172.27.224.250,172.27.224.251,502,53863,FA,6
208,172.27.224.251,172.27.224.250,53863,502,A,6
209,172.27.224.250,172.27.224.251,502,53863,RA,6
210,172.27.224.250,172.27.224.251,502,53863,R,6
214,172.27.224.251,172.27.224.250,53864,502,S,6
215,172.27.224.250,172.27.224.251,502,53864,SA,6
216,172.27.224.251,172.27.224.250,53864,502,A,6
217,172.27.224.251,172.27.224.250,53864,502,PA,6
218,172.27.224.251,172.27.224.250,53864,502,PA,6
219,172.27.224.251,172.27.224.250,53864,502,PA,6
220,172.27.224.251,172.27.224.250,53864,502,PA,6
221,172.27.224.251,172.27.224.250,53864,502,PA,6
222,172.27.224.251,172.27.224.250,53864,502,PA,6
223,172.27.224.251,172.27.224.250,53864,502,PA,6
224,172.27.224.251,172.27.224.250,53864,502,PA,6
225,172.27.224.251,172.27.224.250,53864,502,PA,6
226,172.27.224.251,172.27.224.250,53864,502,PA,6
227,172.27.224.251,172.27.224.250,53864,502,PA,6
228,172.27.224.251,172.27.224.250,53864,502,PA,6
229,172.27.224.250,172.27.224.251,502,53864,A,6
230,172.27.224.250,172.27.224.251,502,53864,A,6
231,172.27.224.250,172.27.224.251,502,53864,PA,6
232,172.27.224.251,172.27.224.250,53864,502,A,6
234,172.27.224.251,172.27.224.250,53864,502,FA,6
235,172.27.224.250,172.27.224.251,502,53864,A,6
236,172.27.224.250,172.27.224.251,502,53864,FA,6
237,172.27.224.251,172.27.224.250,53864,502,A,6
238,172.27.224.250,172.27.224.251,502,53864,RA,6
239,172.27.224.250,172.27.224.251,502,53864,R,6
243,172.27.224.251,172.27.224.250,53865,502,S,6
244,172.27.224.250,172.27.224.251,502,53865,SA,6
245,172.27.224.251,172.27.224.250,53865,502,A,6
246,172.27.224.251,172.27.224.250,53865,502,PA,6
247,172.27.224.251,172.27.224.250,53865,502,PA,6
248,172.27.224.251,172.27.224.250,53865,502,PA,6
249,172.27.224.251,172.27.224.250,53865,502,PA,6
250,172.27.224.251,172.27.224.250,53865,502,PA,6
251,172.27.224.251,172.27.224.250,53865,502,PA,6
252,172.27.224.251,172.27.224.250,53865,502,PA,6
253,172.27.224.251,172.27.224.250,53865,502,PA,6
254,172.27.224.251,172.27.224.250,53865,502,PA,6
255,172.27.224.251,172.27.224.250,53865,502,PA,6
256,172.27.224.251,172.27.224.250,53865,502,PA,6
257,172.27.224.251,172.27.224.250,53865,502,PA,6
258,172.27.224.250,172.27.224.251,502,53865,A,6
259,172.27.224.250,172.27.224.251,502,53865,A,6
260,172.27.224.250,172.27.224.251,502,53865,PA,6
261,172.27.224.251,172.27.224.250,53865,502,A,6
263,172.27.224.251,172.27.224.250,53865,502,FA,6
264,172.27.224.250,172.27.224.251,502,53865,A,6
265,172.27.224.250,172.27.224.251,502,53865,FA,6
266,172.27.224.251,172.27.224.250,53865,502,A,6
267,172.27.224.250,172.27.224.251,502,53865,RA,6
268,172.27.224.250,172.27.224.251,502,53865,R,6
269,0.0.0.0,255.255.255.255,68,67,None,17
272,172.27.224.251,172.27.224.250,53866,502,S,6
273,172.27.224.250,172.27.224.251,502,53866,SA,6
274,172.27.224.251,172.27.224.250,53866,502,A,6
275,172.27.224.251,172.27.224.250,53866,502,PA,6
276,172.27.224.251,172.27.224.250,53866,502,PA,6
277,172.27.224.251,172.27.224.250,53866,502,PA,6
278,172.27.224.251,172.27.224.250,53866,502,PA,6
279,172.27.224.251,172.27.224.250,53866,502,PA,6
280,172.27.224.251,172.27.224.250,53866,502,PA,6
281,172.27.224.251,172.27.224.250,53866,502,PA,6
282,172.27.224.251,172.27.224.250,53866,502,PA,6
283,172.27.224.251,172.27.224.250,53866,502,PA,6
284,172.27.224.251,172.27.224.250,53866,502,PA,6
285,172.27.224.251,172.27.224.250,53866,502,PA,6
286,172.27.224.251,172.27.224.250,53866,502,PA,6
287,172.27.224.250,172.27.224.251,502,53866,A,6
288,172.27.224.250,172.27.224.251,502,53866,A,6
289,172.27.224.250,172.27.224.251,502,53866,PA,6
290,172.27.224.251,172.27.224.250,53866,502,A,6
292,172.27.224.251,172.27.224.250,53866,502,FA,6
293,172.27.224.250,172.27.224.251,502,53866,A,6
294,172.27.224.250,172.27.224.251,502,53866,FA,6
295,172.27.224.251,172.27.224.250,53866,502,A,6
296,172.27.224.250,172.27.224.251,502,53866,RA,6
297,172.27.224.250,172.27.224.251,502,53866,R,6
301,172.27.224.251,172.27.224.250,53867,502,S,6
302,172.27.224.250,172.27.224.251,502,53867,SA,6
303,172.27.224.251,172.27.224.250,53867,502,A,6
304,172.27.224.251,172.27.224.250,53867,502,PA,6
305,172.27.224.251,172.27.224.250,53867,502,PA,6
306,172.27.224.251,172.27.224.250,53867,502,PA,6
307,172.27.224.251,172.27.224.250,53867,502,PA,6
308,172.27.224.251,172.27.224.250,53867,502,PA,6
309,172.27.224.251,172.27.224.250,53867,502,PA,6
310,172.27.224.251,172.27.224.250,53867,502,PA,6
311,172.27.224.251,172.27.224.250,53867,502,PA,6
312,172.27.224.251,172.27.224.250,53867,502,PA,6
313,172.27.224.251,172.27.224.250,53867,502,PA,6
314,172.27.224.251,172.27.224.250,53867,502,PA,6
315,172.27.224.251,172.27.224.250,53867,502,PA,6
316,172.27.224.250,172.27.224.251,502,53867,A,6
317,172.27.224.250,172.27.224.251,502,53867,A,6
318,172.27.224.250,172.27.224.251,502,53867,PA,6
319,172.27.224.251,172.27.224.250,53867,502,A,6
320,172.27.224.251,172.27.224.250,53867,502,FA,6
321,172.27.224.250,172.27.224.251,502,53867,A,6
322,172.27.224.250,172.27.224.251,502,53867,FA,6
323,172.27.224.251,172.27.224.250,53867,502,A,6
324,172.27.224.250,172.27.224.251,502,53867,RA,6
325,172.27.224.250,172.27.224.251,502,53867,R,6
329,172.27.224.251,172.27.224.250,53868,502,S,6
330,172.27.224.250,172.27.224.251,502,53868,SA,6
331,172.27.224.251,172.27.224.250,53868,502,A,6
332,172.27.224.251,172.27.224.250,53868,502,PA,6
333,172.27.224.251,172.27.224.250,53868,502,PA,6
334,172.27.224.251,172.27.224.250,53868,502,PA,6
335,172.27.224.251,172.27.224.250,53868,502,PA,6
336,172.27.224.251,172.27.224.250,53868,502,PA,6
337,172.27.224.251,172.27.224.250,53868,502,PA,6
338,172.27.224.251,172.27.224.250,53868,502,PA,6
339,172.27.224.251,172.27.224.250,53868,502,PA,6
340,172.27.224.251,172.27.224.250,53868,502,PA,6
341,172.27.224.251,172.27.224.250,53868,502,PA,6
342,172.27.224.251,172.27.224.250,53868,502,PA,6
343,172.27.224.251,172.27.224.250,53868,502,PA,6
344,172.27.224.250,172.27.224.251,502,53868,A,6
345,172.27.224.250,172.27.224.251,502,53868,A,6
346,172.27.224.250,172.27.224.251,502,53868,PA,6
347,172.27.224.251,172.27.224.250,53868,502,A,6
349,172.27.224.251,172.27.224.250,53868,502,FA,6
350,172.27.224.250,172.27.224.251,502,53868,A,6
351,172.27.224.250,172.27.224.251,502,53868,FA,6
352,172.27.224.251,172.27.224.250,53868,502,A,6
353,172.27.224.250,172.27.224.251,502,53868,RA,6
354,172.27.224.250,172.27.224.251,502,53868,R,6
358,172.27.224.251,172.27.224.250,53869,502,S,6
359,172.27.224.250,172.27.224.251,502,53869,SA,6
360,172.27.224.251,172.27.224.250,53869,502,A,6
361,172.27.224.251,172.27.224.250,53869,502,PA,6
362,172.27.224.251,172.27.224.250,53869,502,PA,6
363,172.27.224.251,172.27.224.250,53869,502,PA,6
364,172.27.224.251,172.27.224.250,53869,502,PA,6
365,172.27.224.251,172.27.224.250,53869,502,PA,6
366,172.27.224.251,172.27.224.250,53869,502,PA,6
367,172.27.224.251,172.27.224.250,53869,502,PA,6
368,172.27.224.251,172.27.224.250,53869,502,PA,6
369,172.27.224.251,172.27.224.250,53869,502,PA,6
370,172.27.224.251,172.27.224.250,53869,502,PA,6
371,172.27.224.251,172.27.224.250,53869,502,PA,6
372,172.27.224.251,172.27.224.250,53869,502,PA,6
373,172.27.224.250,172.27.224.251,502,53869,A,6
374,172.27.224.250,172.27.224.251,502,53869,A,6
375,172.27.224.250,172.27.224.251,502,53869,PA,6
376,172.27.224.251,172.27.224.250,53869,502,A,6
377,172.27.224.251,172.27.224.250,53869,502,FA,6
378,172.27.224.250,172.27.224.251,502,53869,A,6
379,172.27.224.250,172.27.224.251,502,53869,FA,6
380,172.27.224.251,172.27.224.250,53869,502,A,6
381,172.27.224.250,172.27.224.251,502,53869,RA,6
382,172.27.224.250,172.27.224.251,502,53869,R,6
386,172.27.224.251,172.27.224.250,53870,502,S,6
387,172.27.224.250,172.27.224.251,502,53870,SA,6
388,172.27.224.251,172.27.224.250,53870,502,A,6
389,172.27.224.251,172.27.224.250,53870,502,PA,6
390,172.27.224.251,172.27.224.250,53870,502,PA,6
391,172.27.224.251,172.27.224.250,53870,502,PA,6
392,172.27.224.251,172.27.224.250,53870,502,PA,6
393,172.27.224.251,172.27.224.250,53870,502,PA,6
