frame_number,src_addr,dst_addr,src_port,dst_port,tcp_flags,protocol
0,192.168.50.6,172.217.10.98,54799,443,PA,6
1,192.168.50.6,172.217.10.98,54799,443,PA,6
2,192.168.50.6,172.217.7.2,54800,443,PA,6
3,192.168.50.6,172.217.7.2,54800,443,PA,6
4,192.168.50.6,172.217.10.98,54801,443,PA,6
5,192.168.50.6,172.217.10.98,54801,443,PA,6
6,192.168.50.6,172.217.9.238,54805,80,FA,6
7,192.168.50.6,172.217.9.238,54805,80,FA,6
8,172.217.7.2,192.168.50.6,443,54800,PA,6
9,172.217.7.2,192.168.50.6,443,54800,PA,6
10,172.217.10.98,192.168.50.6,443,54799,PA,6
11,172.217.10.98,192.168.50.6,443,54799,PA,6
12,172.217.10.98,192.168.50.6,443,54801,PA,6
13,172.217.10.98,192.168.50.6,443,54801,PA,6
14,172.217.9.238,192.168.50.6,80,54805,FA,6
15,172.217.9.238,192.168.50.6,80,54805,FA,6
16,192.168.50.6,172.217.9.238,54805,80,A,6
17,192.168.50.6,172.217.9.238,54805,80,A,6
18,192.168.50.6,172.217.10.98,54801,443,A,6
19,192.168.50.6,172.217.7.2,54800,443,A,6
20,192.168.50.6,172.217.10.98,54801,443,A,6
21,192.168.50.6,172.217.10.98,54799,443,A,6
22,192.168.50.6,172.217.7.2,54800,443,A,6
23,192.168.50.6,172.217.10.98,54799,443,A,6
24,0.0.0.0,255.255.255.255,68,67,None,17
25,192.168.50.6,172.217.10.65,54802,443,PA,6
26,192.168.50.6,172.217.10.65,54802,443,PA,6
27,192.168.50.6,172.217.7.2,54803,443,PA,6
28,192.168.50.6,172.217.7.2,54803,443,PA,6
29,192.168.50.6,172.217.12.206,54804,443,PA,6
30,192.168.50.6,172.217.12.206,54804,443,PA,6
31,172.217.7.2,192.168.50.6,443,54803,PA,6
32,172.217.7.2,192.168.50.6,443,54803,PA,6
33,172.217.12.206,192.168.50.6,443,54804,PA,6
34,172.217.12.206,192.168.50.6,443,54804,PA,6
35,172.217.10.65,192.168.50.6,443,54802,PA,6
36,172.217.10.65,192.168.50.6,443,54802,PA,6
37,192.168.50.6,172.217.10.65,54802,443,A,6
38,192.168.50.6,172.217.7.2,54803,443,A,6
39,192.168.50.6,172.217.12.206,54804,443,A,6
40,192.168.50.6,172.217.10.65,54802,443,A,6
41,192.168.50.6,172.217.7.2,54803,443,A,6
42,192.168.50.6,172.217.12.206,54804,443,A,6
43,0.0.0.0,255.255.255.255,68,67,None,17
44,0.0.0.0,255.255.255.255,68,67,None,17
45,192.168.50.9,35.158.163.158,57658,443,PA,6
46,192.168.50.9,35.158.163.158,57658,443,PA,6
47,192.168.50.9,54.192.55.39,37652,443,PA,6
48,192.168.50.9,54.192.55.39,37652,443,PA,6
49,192.168.50.9,93.184.216.180,41488,443,PA,6
50,192.168.50.9,93.184.216.180,41488,443,PA,6
51,192.168.50.9,54.192.55.39,37652,443,PA,6
52,192.168.50.9,54.192.55.39,37652,443,PA,6
53,192.168.50.9,54.192.55.39,37652,443,FA,6
54,192.168.50.9,54.192.55.39,37652,443,FA,6
55,192.168.50.9,35.158.163.158,57658,443,PA,6
56,192.168.50.9,35.158.163.158,57658,443,FA,6
57,192.168.50.9,35.158.163.158,57658,443,PA,6
58,192.168.50.9,35.158.163.158,57658,443,FA,6
59,192.168.50.9,93.184.216.180,41488,443,PA,6
60,192.168.50.9,93.184.216.180,41488,443,FA,6
61,192.168.50.9,93.184.216.180,41488,443,PA,6
62,192.168.50.9,93.184.216.180,41488,443,FA,6
63,93.184.216.180,192.168.50.9,443,41488,PA,6
64,93.184.216.180,192.168.50.9,443,41488,PA,6
65,93.184.216.180,192.168.50.9,443,41488,FA,6
66,93.184.216.180,192.168.50.9,443,41488,FA,6
67,192.168.50.9,93.184.216.180,41488,443,R,6
68,192.168.50.9,93.184.216.180,41488,443,R,6
69,192.168.50.9,93.184.216.180,41488,443,R,6
70,192.168.50.9,93.184.216.180,41488,443,R,6
71,93.184.216.180,192.168.50.9,443,41488,A,6
72,93.184.216.180,192.168.50.9,443,41488,A,6
73,192.168.50.9,93.184.216.180,41488,443,R,6
74,192.168.50.9,93.184.216.180,41488,443,R,6
75,54.192.55.39,192.168.50.9,443,37652,A,6
76,54.192.55.39,192.168.50.9,443,37652,A,6
77,54.192.55.39,192.168.50.9,443,37652,FA,6
78,54.192.55.39,192.168.50.9,443,37652,FA,6
79,192.168.50.9,54.192.55.39,37652,443,A,6
80,192.168.50.9,54.192.55.39,37652,443,A,6
81,35.158.163.158,192.168.50.9,443,57658,A,6
82,35.158.163.158,192.168.50.9,443,57658,A,6
83,35.158.163.158,192.168.50.9,443,57658,FA,6
84,35.158.163.158,192.168.50.9,443,57658,FA,6
85,192.168.50.9,35.158.163.158,57658,443,A,6
86,192.168.50.9,35.158.163.158,57658,443,A,6
87,192.168.50.9,172.217.197.154,60096,443,PA,6
88,192.168.50.9,172.217.197.154,60096,443,PA,6
89,192.168.50.9,172.217.197.154,60096,443,PA,6
90,192.168.50.9,172.217.197.154,60096,443,FA,6
91,192.168.50.9,172.217.197.154,60096,443,PA,6
92,192.168.50.9,172.217.197.154,60096,443,FA,6
93,172.217.197.154,192.168.50.9,443,60096,A,6
94,172.217.197.154,192.168.50.9,443,60096,A,6
95,172.217.197.154,192.168.50.9,443,60096,FA,6
96,172.217.197.154,192.168.50.9,443,60096,FA,6
97,172.217.197.154,192.168.50.9,443,60096,A,6
98,172.217.197.154,192.168.50.9,443,60096,A,6
99,192.168.50.9,172.217.197.154,60096,443,A,6
100,192.168.50.9,172.217.197.154,60096,443,A,6
101,192.168.50.8,192.168.10.50,59593,21,S,6
102,192.168.50.8,192.168.10.50,59593,21,S,6
103,192.168.50.9,23.194.108.29,37312,443,PA,6
104,192.168.50.9,23.194.108.29,37312,443,PA,6
105,192.168.50.9,23.194.108.29,37312,443,PA,6
106,192.168.50.9,23.194.108.29,37312,443,FA,6
107,192.168.50.9,23.194.108.29,37312,443,PA,6
108,192.168.50.9,23.194.108.29,37312,443,FA,6
109,23.194.108.29,192.168.50.9,443,37312,A,6
110,23.194.108.29,192.168.50.9,443,37312,A,6
111,23.194.108.29,192.168.50.9,443,37312,PA,6
112,23.194.108.29,192.168.50.9,443,37312,PA,6
113,23.194.108.29,192.168.50.9,443,37312,FA,6
114,23.194.108.29,192.168.50.9,443,37312,FA,6
115,192.168.50.9,23.194.108.29,37312,443,R,6
116,192.168.50.9,23.194.108.29,37312,443,R,6
117,192.168.50.9,23.194.108.29,37312,443,R,6
118,192.168.50.9,23.194.108.29,37312,443,R,6
119,192.168.50.9,52.28.108.167,48208,443,PA,6
120,192.168.50.9,52.28.108.167,48208,443,PA,6
121,192.168.50.9,52.28.108.167,48200,443,PA,6
122,192.168.50.9,52.28.108.167,48200,443,PA,6
123,192.168.50.9,52.28.108.167,48200,443,PA,6
124,192.168.50.9,52.28.108.167,48200,443,FA,6
125,192.168.50.9,52.28.108.167,48200,443,PA,6
126,192.168.50.9,52.28.108.167,48200,443,FA,6
127,192.168.50.9,52.28.108.167,48208,443,PA,6
128,192.168.50.9,52.28.108.167,48208,443,FA,6
129,192.168.50.9,52.28.108.167,48208,443,PA,6
130,192.168.50.9,52.28.108.167,48208,443,FA,6
131,52.28.108.167,192.168.50.9,443,48200,A,6
132,52.28.108.167,192.168.50.9,443,48200,A,6
133,52.28.108.167,192.168.50.9,443,48200,FA,6
134,52.28.108.167,192.168.50.9,443,48200,FA,6
135,192.168.50.9,52.28.108.167,48200,443,A,6
136,192.168.50.9,52.28.108.167,48200,443,A,6
137,52.28.108.167,192.168.50.9,443,48208,A,6
138,52.28.108.167,192.168.50.9,443,48208,A,6
139,52.28.108.167,192.168.50.9,443,48208,FA,6
140,52.28.108.167,192.168.50.9,443,48208,FA,6
141,192.168.50.9,52.28.108.167,48208,443,A,6
142,192.168.50.9,52.28.108.167,48208,443,A,6
143,192.168.50.8,192.168.10.50,59593,21,S,6
144,192.168.50.8,192.168.10.50,59593,21,S,6
145,0.0.0.0,255.255.255.255,68,67,None,17
146,192.168.50.8,192.168.10.50,59593,21,S,6
147,192.168.50.8,192.168.10.50,59593,21,S,6
148,0.0.0.0,255.255.255.255,68,67,None,17
149,192.168.50.6,172.217.12.206,54804,443,RA,6
150,192.168.50.6,172.217.12.206,54804,443,RA,6
151,192.168.50.6,54.213.45.184,54560,443,RA,6
152,192.168.50.6,54.213.45.184,54560,443,RA,6
153,192.168.50.6,172.217.10.98,54801,443,RA,6
154,192.168.50.6,172.217.10.98,54801,443,RA,6
155,192.168.50.6,172.217.7.2,54800,443,RA,6
156,192.168.50.6,172.217.7.2,54800,443,RA,6
157,192.168.50.6,172.217.10.98,54799,443,RA,6
158,192.168.50.6,172.217.10.98,54799,443,RA,6
159,192.168.50.6,172.217.7.2,54803,443,RA,6
160,192.168.50.6,172.217.7.2,54803,443,RA,6
161,192.168.50.6,172.217.10.65,54802,443,RA,6
162,192.168.50.6,172.217.10.65,54802,443,RA,6
163,34.209.30.112,192.168.50.8,443,59555,PA,6
164,34.209.30.112,192.168.50.8,443,59555,PA,6
165,192.168.50.8,34.209.30.112,59555,443,PA,6
166,192.168.50.8,34.209.30.112,59555,443,PA,6
167,34.209.30.112,192.168.50.8,443,59555,A,6
168,34.209.30.112,192.168.50.8,443,59555,A,6
169,192.168.50.6,192.168.10.50,54808,21,S,6
170,192.168.50.6,192.168.10.50,54808,21,S,6
171,192.168.50.6,192.168.10.50,54808,21,S,6
172,192.168.50.6,192.168.10.50,54808,21,S,6
173,192.168.50.6,192.168.10.50,54808,21,S,6
174,192.168.50.6,192.168.10.50,54808,21,S,6
175,192.168.50.6,4.2.2.4,60512,53,None,17
176,192.168.50.6,4.2.2.4,60512,53,None,17
177,4.2.2.4,192.168.50.6,53,60512,None,17
178,4.2.2.4,192.168.50.6,53,60512,None,17
179,192.168.50.9,192.168.10.50,46826,22,S,6
180,192.168.50.9,192.168.10.50,46826,22,S,6
181,192.168.50.9,192.168.10.50,46826,22,S,6
182,192.168.50.9,192.168.10.50,46826,22,S,6
183,192.168.50.9,192.168.10.50,46826,22,S,6
184,192.168.50.9,192.168.10.50,46826,22,S,6
185,192.168.50.9,192.168.10.50,46826,22,S,6
186,192.168.50.9,192.168.10.50,46826,22,S,6
187,192.168.50.9,192.168.10.50,46826,22,S,6
188,192.168.50.9,192.168.10.50,46826,22,S,6
189,192.168.50.8,4.2.2.4,56022,53,None,17
190,192.168.50.8,4.2.2.4,56022,53,None,17
191,4.2.2.4,192.168.50.8,53,56022,None,17
192,4.2.2.4,192.168.50.8,53,56022,None,17
193,192.168.50.8,173.194.208.109,59594,465,S,6
194,192.168.50.8,173.194.208.109,59594,465,S,6
195,173.194.208.109,192.168.50.8,465,59594,SA,6
196,173.194.208.109,192.168.50.8,465,59594,SA,6
197,192.168.50.8,173.194.208.109,59594,465,A,6
198,192.168.50.8,173.194.208.109,59594,465,A,6
199,192.168.50.8,173.194.208.109,59594,465,PA,6
200,192.168.50.8,173.194.208.109,59594,465,PA,6
201,173.194.208.109,192.168.50.8,465,59594,A,6
202,173.194.208.109,192.168.50.8,465,59594,A,6
203,173.194.208.109,192.168.50.8,465,59594,A,6
204,173.194.208.109,192.168.50.8,465,59594,PA,6
205,173.194.208.109,192.168.50.8,465,59594,PA,6
206,192.168.50.8,173.194.208.109,59594,465,A,6
207,192.168.50.8,173.194.208.109,59594,465,A,6
208,192.168.50.8,173.194.208.109,59594,465,PA,6
209,192.168.50.8,173.194.208.109,59594,465,PA,6
210,173.194.208.109,192.168.50.8,465,59594,A,6
211,173.194.208.109,192.168.50.8,465,59594,A,6
212,192.168.50.8,173.194.208.109,59594,465,PA,6
213,192.168.50.8,173.194.208.109,59594,465,PA,6
214,173.194.208.109,192.168.50.8,465,59594,A,6
215,173.194.208.109,192.168.50.8,465,59594,A,6
216,173.194.208.109,192.168.50.8,465,59594,PA,6
217,173.194.208.109,192.168.50.8,465,59594,PA,6
218,173.194.208.109,192.168.50.8,465,59594,PA,6
219,173.194.208.109,192.168.50.8,465,59594,PA,6
220,192.168.50.8,173.194.208.109,59594,465,A,6
221,192.168.50.8,173.194.208.109,59594,465,A,6
222,192.168.50.8,173.194.208.109,59594,465,PA,6
223,192.168.50.8,173.194.208.109,59594,465,PA,6
224,173.194.208.109,192.168.50.8,465,59594,PA,6
225,173.194.208.109,192.168.50.8,465,59594,PA,6
226,192.168.50.8,173.194.208.109,59594,465,PA,6
227,192.168.50.8,173.194.208.109,59594,465,PA,6
228,173.194.208.109,192.168.50.8,465,59594,PA,6
229,173.194.208.109,192.168.50.8,465,59594,PA,6
230,192.168.50.8,173.194.208.109,59594,465,PA,6
231,192.168.50.8,173.194.208.109,59594,465,PA,6
232,173.194.208.109,192.168.50.8,465,59594,PA,6
233,173.194.208.109,192.168.50.8,465,59594,PA,6
234,192.168.50.8,173.194.208.109,59594,465,PA,6
235,192.168.50.8,173.194.208.109,59594,465,PA,6
236,173.194.208.109,192.168.50.8,465,59594,A,6
237,173.194.208.109,192.168.50.8,465,59594,A,6
238,173.194.208.109,192.168.50.8,465,59594,PA,6
239,173.194.208.109,192.168.50.8,465,59594,PA,6
240,192.168.50.8,173.194.208.109,59594,465,PA,6
241,192.168.50.8,173.194.208.109,59594,465,PA,6
242,173.194.208.109,192.168.50.8,465,59594,A,6
243,173.194.208.109,192.168.50.8,465,59594,A,6
244,173.194.208.109,192.168.50.8,465,59594,PA,6
245,173.194.208.109,192.168.50.8,465,59594,PA,6
246,192.168.50.8,173.194.208.109,59594,465,PA,6
247,192.168.50.8,173.194.208.109,59594,465,PA,6
248,173.194.208.109,192.168.50.8,465,59594,PA,6
249,173.194.208.109,192.168.50.8,465,59594,PA,6
250,192.168.50.8,173.194.208.109,59594,465,PA,6
251,192.168.50.8,173.194.208.109,59594,465,PA,6
252,173.194.208.109,192.168.50.8,465,59594,A,6
253,173.194.208.109,192.168.50.8,465,59594,A,6
254,173.194.208.109,192.168.50.8,465,59594,PA,6
255,173.194.208.109,192.168.50.8,465,59594,PA,6
256,192.168.50.8,173.194.208.109,59594,465,PA,6
257,192.168.50.8,173.194.208.109,59594,465,PA,6
258,173.194.208.109,192.168.50.8,465,59594,A,6
259,173.194.208.109,192.168.50.8,465,59594,A,6
260,173.194.208.109,192.168.50.8,465,59594,PA,6
261,173.194.208.109,192.168.50.8,465,59594,PA,6
262,192.168.50.8,173.194.208.109,59594,465,PA,6
263,192.168.50.8,173.194.208.109,59594,465,PA,6
264,173.194.208.109,192.168.50.8,465,59594,A,6
265,173.194.208.109,192.168.50.8,465,59594,A,6
266,173.194.208.109,192.168.50.8,465,59594,PA,6
267,173.194.208.109,192.168.50.8,465,59594,PA,6
268,173.194.208.109,192.168.50.8,465,59594,FA,6
269,173.194.208.109,192.168.50.8,465,59594,FA,6
270,192.168.50.8,173.194.208.109,59594,465,A,6
271,192.168.50.8,173.194.208.109,59594,465,A,6
272,192.168.50.8,173.194.208.109,59594,465,PA,6
273,192.168.50.8,173.194.208.109,59594,465,PA,6
274,192.168.50.8,173.194.208.109,59594,465,FA,6
275,192.168.50.8,173.194.208.109,59594,465,FA,6
276,173.194.208.109,192.168.50.8,465,59594,R,6
277,173.194.208.109,192.168.50.8,465,59594,R,6
278,192.168.50.9,192.168.10.50,46826,22,S,6
279,192.168.50.9,192.168.10.50,46826,22,S,6
280,192.168.50.8,74.208.236.171,59595,80,S,6
281,192.168.50.8,74.208.236.171,59595,80,S,6
282,192.168.50.8,74.208.236.171,59596,80,S,6
283,192.168.50.8,74.208.236.171,59596,80,S,6
284,192.168.50.8,4.2.2.4,56770,53,None,17
285,192.168.50.8,4.2.2.4,62834,53,None,17
286,192.168.50.8,4.2.2.4,56770,53,None,17
287,192.168.50.8,4.2.2.4,62834,53,None,17
288,192.168.50.8,4.2.2.4,65283,53,None,17
289,192.168.50.8,4.2.2.4,65283,53,None,17
290,192.168.50.8,4.2.2.4,64535,53,None,17
291,192.168.50.8,4.2.2.4,64535,53,None,17
292,4.2.2.4,192.168.50.8,53,56770,None,17
293,4.2.2.4,192.168.50.8,53,56770,None,17
294,4.2.2.4,192.168.50.8,53,62834,None,17
295,4.2.2.4,192.168.50.8,53,62834,None,17
296,4.2.2.4,192.168.50.8,53,65283,None,17
297,4.2.2.4,192.168.50.8,53,65283,None,17
298,192.168.50.8,172.217.9.226,59597,443,S,6
299,192.168.50.8,172.217.9.226,59597,443,S,6
300,192.168.50.8,172.217.9.226,59598,80,S,6
301,192.168.50.8,172.217.9.226,59598,80,S,6
302,192.168.50.8,172.217.9.226,59599,443,S,6
303,192.168.50.8,172.217.9.226,59599,443,S,6
304,192.168.50.8,172.217.9.226,59600,443,S,6
305,192.168.50.8,172.217.9.226,59600,443,S,6
306,192.168.50.8,4.2.2.4,50492,53,None,17
307,192.168.50.8,4.2.2.4,52093,53,None,17
308,192.168.50.8,4.2.2.4,50492,53,None,17
309,192.168.50.8,4.2.2.4,52093,53,None,17
310,192.168.50.8,4.2.2.4,53461,53,None,17
311,192.168.50.8,4.2.2.4,53461,53,None,17
312,4.2.2.4,192.168.50.8,53,64535,None,17
313,4.2.2.4,192.168.50.8,53,64535,None,17
314,192.168.50.8,172.217.3.106,59601,443,S,6
315,192.168.50.8,172.217.3.106,59601,443,S,6
316,4.2.2.4,192.168.50.8,53,50492,None,17
317,4.2.2.4,192.168.50.8,53,50492,None,17
318,4.2.2.4,192.168.50.8,53,52093,None,17
319,4.2.2.4,192.168.50.8,53,52093,None,17
320,4.2.2.4,192.168.50.8,53,53461,None,17
321,4.2.2.4,192.168.50.8,53,53461,None,17
322,74.208.236.171,192.168.50.8,80,59595,SA,6
323,74.208.236.171,192.168.50.8,80,59595,SA,6
324,192.168.50.8,74.208.236.171,59595,80,A,6
325,192.168.50.8,74.208.236.171,59595,80,A,6
